id,title,author,ISBN,series,avg_rating,pages,rating_count,review_count,book_format,published_date,publisher
1,Pyramids,Terry Pratchett,0061020656,(Discworld #7),3.90,341,60988,1624,Mass Market Paperback,2008,Harper
2,The Girl with the Lower Back Tattoo,Amy Schumer,1501139886,NULL,3.73,323,84651,7780,Hardcover,August 16th 2016,Gallery Books
3,Chelsea Chelsea Bang Bang,Chelsea Handler,0446552445,NULL,3.81,244,61519,2990,Hardcover,March 9th 2010,Grand Central Publishing
4,Furiously Happy: A Funny Book About Horrible Things,Jenny  Lawson,1250077001,NULL,3.93,329,100302,11513,Hardcover,September 22nd 2015,Flatiron Books
5,Holidays on Ice,David Sedaris,0316191299,NULL,3.93,176,100721,5268,Paperback,December 28th 1998,Little Brown & Co (P)
6,Hogfather,Terry Pratchett,0552154288,(Discworld #20),4.24,432,67526,2035,Paperback,October 2nd 2006,Corgi
7,Fool,Christopher Moore,0060590319,(Fool #1),3.97,311,47824,3388,Hardcover,February 10th 2009,HarperCollins William Morrow
8,Eric,Terry Pratchett,0380821214,(Discworld #9),3.75,217,51931,1528,Mass Market Paperback,July 2008,Harper
9,Moving Pictures,Terry Pratchett,0552152943,(Discworld #10),3.94,396,58488,1359,Paperback,April 1st 2005,Corgi
10,Men at Arms,Terry Pratchett,0061092193,(Discworld #15),4.38,377,73127,1617,Mass Market Paperback,May 27th 2003,HarperPrism
11,Freaks I've Met,Donald Jans,NULL,NULL,4.35,208,1639,289,Hardcover,August 15th 2015,Sheabeau Publishing
12,Witches Abroad,Terry Pratchett,0061020613,(Discworld #12),4.23,374,64346,1698,Mass Market Paperback,July 30th 2002,HarperTorch
13,The Hundred-Year-Old Man Who Climbed Out of the Window and Disappeared,Jonas Jonasson,NULL,(The Hundred-Year-Old Man #1),3.83,396,178810,20143,Kindle Edition,September 11th 2012,Hachette Books
14,Diary of a Wimpy Kid,Jeff Kinney,0810993139,(Diary of a Wimpy Kid #1),3.97,217,337227,15831,Hardcover,April 1st 2007,Amulet Books
15,Soul Music,Terry Pratchett,057506689X,(Discworld #16),4.04,424,58433,1480,Hardcover,1999,Gollancz
16,Bloodsucking Fiends,Christopher Moore,0060735414,(A Love Story #1),3.94,300,56262,2388,Paperback,June 1st 2004,HarperCollins
17,You Suck,Christopher Moore,0060590297,(A Love Story #2),3.83,328,44133,2719,Hardcover,January 16th 2007,William Morrow
18,Feet of Clay,Terry Pratchett,0552153257,(Discworld #19),4.29,411,61400,1371,Paperback,October 1st 2005,Corgi
19,John Dies at the End,David  Wong,0978970764,(John Dies at the End #1),3.91,362,54433,5647,Paperback,August 1st 2007,Permuted Press
20,Redshirts,John Scalzi,0765316994,NULL,3.84,320,76056,9122,Hardcover,June 5th 2012,Tor Books
21,Lords and Ladies,Terry Pratchett,055215315X,(Discworld #14),4.17,400,59822,1284,Paperback,August 1st 2005,Corgi
22,The Stupidest Angel: A Heartwarming Tale of Christmas Terror,Christopher Moore,0060842350,(Pine Cove #3),3.82,306,38393,2968,Hardcover,October 28th 2008,William Morrow
23,The Fifth Elephant,Terry Pratchett,0552154229,(Discworld #24),4.27,464,54232,1237,Paperback,November 6th 2008,Corgi
24,Food: A Love Story,Jim Gaffigan,0804140413,NULL,3.70,340,23390,3362,Hardcover,October 21st 2014,Crown Archetype
25,Twelfth Night,William Shakespeare,0743482778,NULL,3.98,220,145344,3171,Paperback,July 1st 2004,Simon
26,Jingo,Terry Pratchett,0552154164,(Discworld #21),4.14,461,49178,1192,Paperback,February 12th 2006,Corgi Books
27,Carpe Jugulum,Terry Pratchett,0061051586,(Discworld #23),4.15,296,47200,1133,Hardcover,September 8th 1999,Harper Voyager
28,Making Money,Terry Pratchett,0061161640,(Discworld #36),4.25,394,51838,1728,Hardcover,September 18th 2007,Harper
30,The Taming of the Shrew,William Shakespeare,074347757X,NULL,3.80,291,144687,2878,Paperback,January 1st 2004,Simon
