id,title,author,ISBN,series,avg_rating,pages,rating_count,review_count,book_format,published_year,publisher
1,Rivers of London,Ben Aaronovitch,0575097566,(Rivers of London #1),3.92,392,69152,7171,Hardcover,January 10th 2011,Gollancz
2,The Ruins of Gorlan,John Flanagan,0142406635,(Ranger's Apprentice #1),4.22,249,108208,7008,Paperback,June 8th 2006,Puffin Books
3,The Fifth Elephant,Terry Pratchett,0552154229,(Discworld #24),4.27,464,54620,1251,Paperback,November 6th 2008,Corgi
4,Vicious,V.E. Schwab,,(Villains  #1),4.26,366,67078,12349,Kindle Edition,September 24th 2013,Tor Books
5,The Host,Stephenie Meyer,0316068047,(The Host #1),3.84,620,830194,40766,Hardcover,May 6th 2008,"Little, Brown and Company"
6,Half a King,Joe Abercrombie,0007550227,(Shattered Sea #1),3.98,416,41457,4393,Paperback,August 15th 2018,HarperVoyager
7,Fablehaven,Brandon Mull,1590385810,(Fablehaven #1),4.10,351,118413,9363,Hardcover,June 7th 2006,Shadow Mountain
8,Three Dark Crowns,Kendare Blake,0062385437,(Three Dark Crowns #1),3.87,398,55078,10051,Hardcover,September 20th 2016,HarperTeen
9,Preludes & Nocturnes,Neil Gaiman,1563892278,(The Sandman #1),4.25,233,179730,5350,Hardcover,December 1st 1998,Vertigo
10,Beyond the Shadows,Brent Weeks,0316033669,(Night Angel #3),4.29,689,79591,2042,Mass Market Paperback,December 1st 2008,Orbit
11,Magyk,Angie Sage,0060577312,(Septimus Heap #1),3.82,564,100418,4833,Hardcover,May 11th 2005,"Katherine Tegen, Harper Collins"
12,Monstrous Regiment,Terry Pratchett,,(Discworld #31),4.21,496,54665,1608,Paperback,September 25th 2003,
13,Eon: Dragoneye Reborn,Alison Goodman,0670062278,(Eon #1),3.98,531,51434,4186,Hardcover,December 26th 2008,Viking Books for Young Readers
14,The Goose Girl,Shannon Hale,1582349908,(The Books of Bayern #1),4.16,383,111663,9551,Paperback,May 1st 2005,Bloomsbury Children's Books
15,Snow Like Ashes,Sara Raasch,0062286927,(Snow Like Ashes #1),3.95,422,51830,6504,Hardcover,October 14th 2014,Balzer + Bray
16,Lady Midnight,Cassandra Clare,1442468351,(The Dark Artifices #1),4.44,688,135016,15608,Hardcover,March 8th 2016,Margaret K. McElderry Books
17,Song of Susannah,Stephen King,1416521496,(The Dark Tower #6),3.99,544,116214,3345,Mass Market Paperback,June 1st 2006,Pocket Books
18,Blood Rites,Jim Butcher,0451459873,(The Dresden Files #6),4.34,452,98490,2682,Paperback,August 3rd 2004,Roc
19,Shadow of Night,Deborah Harkness,0670023485,(All Souls Trilogy #2),4.07,584,143681,13963,Hardcover,July 10th 2012,Viking Adult
20,Fire Study,Maria V. Snyder,0778325342,(Poison Study #3),3.94,441,50348,3671,Paperback,February 26th 2008,MIRA
21,The Girl Who Circumnavigated Fairyland in a Ship of Her Own Making,Catherynne M. Valente,0312649614,(Fairyland #1),3.98,247,32648,5248,Hardcover,May 10th 2011,Feiwel & Friends
22,Fallen,Lauren Kate,0385738935,(Fallen #1),3.73,452,449939,18958,Hardcover,December 8th 2009,Delacorte Press
23,Truthwitch,Susan Dennard,,(The Witchlands #1),3.91,416,32475,6110,Kindle Edition,January 5th 2016,Tor Teen
24,The Sword of Summer,Rick Riordan,1423160916,(Magnus Chase and the Gods of Asgard #1),4.26,491,124172,11111,Hardcover,October 6th 2015,Disney - Hyperion Books
25,The Eternity Code,Eoin Colfer,0141321318,(Artemis Fowl #3),4.05,352,111122,2142,Paperback,April 6th 2006,Puffin
26,A Hat Full of Sky,Terry Pratchett,055255264X,(Discworld #32),4.31,352,56419,1742,Paperback,May 5th 2005,Corgi Childrens
27,The Dark Tower,Stephen King,,(The Dark Tower #7),4.28,1050,127381,5113,Paperback,September 1st 2006,Pocket Books
28,The Curse of Chalion,Lois McMaster Bujold,0007133618,(World of the Five Gods (Publication) #1),4.16,490,28473,2026,Paperback,February 3rd 2003,Voyager
29,The Mad Ship,Robin Hobb,0006498868,(Liveship Traders #2),4.24,906,42577,1273,Mass Market Paperback,February 4th 2008,Harper Voyager
30,Insurgent,Veronica Roth,0007442912,(Divergent #2),4.05,525,1047608,57626,Hardcover,May 1st 2012,HarperCollins Children's Books
31,The Giver,Lois Lowry,0385732554,(The Giver  #1),4.12,208,1539521,60880,Paperback,January 24th 2006,Ember
32,Maskerade,Terry Pratchett,0575058080,(Discworld #18),4.09,285,46194,1159,Hardcover,1995,Gollancz
33,The Obelisk Gate,N.K. Jemisin,0356508366,(The Broken Earth #2),4.34,410,53913,4638,Paperback,August 18th 2016,Orbit
34,Making Money,Terry Pratchett,0061161640,(Discworld #36),4.25,394,52181,1741,Hardcover,September 18th 2007,Harper
35,Dead Beat,Jim Butcher,045146091X,(The Dresden Files #7),4.44,517,95760,3080,Mass Market Paperback,January 1st 2006,Roc
36,Carpe Jugulum,Terry Pratchett,0061051586,(Discworld #23),4.15,296,47459,1140,Hardcover,September 8th 1999,Harper Voyager
37,Rebel of the Sands,Alwyn Hamilton,0698410424,(Rebel of the Sands #1),3.98,314,39036,6314,ebook,March 8th 2016,Viking Books for Young Readers
38,The Truth,Terry Pratchett,0413771164,(Discworld #25),4.28,336,49147,1253,Paperback,February 21st 2002,Bloomsbury Methuen Drama
39,Ship of Destiny,Robin Hobb,0553575651,(Liveship Traders #3),4.22,789,50182,1432,Paperback,November 27th 2001,Spectra Books
40,The Rithmatist,Brandon Sanderson,,(Rithmatist #1),4.26,353,45132,5725,Kindle Edition,May 1st 2014,Tor UK
