id,title,author,ISBN,series,avg_rating,pages,rating_count,review_count,book_format,published_year,publisher
1,Stalking Jack the Ripper,Kerri Maniscalco,,(Stalking Jack the Ripper #1),4.02,337,34878,7114,Kindle Edition,September 20th 2016,Jimmy Patterson
2,The Diary of Ellen Rimbauer: My Life at Rose Red,Joyce Reardon,0786890436,,3.67,277,8871,458,Mass Market Paperback,April 29th 2001,Hyperion
3,The First Days,Rhiannon Frater,0765331268,(As the World Dies #1),3.77,331,9076,1092,Paperback,July 5th 2011,Tor Books
4,The Servants of Twilight,Leigh Nichols,0747236380,,3.83,499,17114,313,Paperback,May 16th 1991,Headline Feature
5,Seize the Night,Dean Koontz,0553479016,(Moonlight Bay #2),4.08,464,25702,559,Audio Cassette,December 29th 1998,Random House Audio Publishing Group
6,Daughters Unto Devils,Amy Lukavics,0373211589,,3.57,266,2934,773,Hardcover,September 29th 2015,Harlequin Teen
7,The Dead-Tossed Waves,Carrie Ryan,0385736843,(The Forest of Hands and Teeth #2),3.91,416,29317,2689,Hardcover,March 9th 2010,Delacorte Press
8,Life Expectancy,Dean Koontz,0553588249,,3.99,476,28652,1744,Paperback,October 25th 2005,Bantam Books
9,The Imago Sequence and Other Stories,Laird Barron,1597800880,,4.02,248,2492,251,Hardcover,July 25th 2007,Night Shade Books
10,The Face,Dean Koontz,0553584480,,3.70,649,19604,648,Paperback,April 27th 2004,Bantam
11,Teatro Grottesco,Thomas Ligotti,0978991176,,4.09,312,3266,336,Hardcover,November 30th 2007,Mythos Books LLC
12,Meg,Steve Alten,0976165910,(MEG #1),3.75,438,16580,1417,Paperback,September 1st 2005,Tsunami Books
13,Tunnels of Blood,Darren Shan,,(Cirque du Freak #3),4.15,240,31315,914,Mass Market Paperback,April 1st 2003,"Little, Brown Young Readers"
14,Paperbacks From Hell: The Twisted History of '70s and '80s Horror Fiction,Grady Hendrix,1594749817,,4.33,254,3116,692,Paperback,September 19th 2017,Quirk Books
