id,title,author,ISBN,series,avg_rating,pages,rating_count,review_count,book_format,published_date,publisher
1,The God of the Hive,Laurie R. King,0553805541,(Mary Russell and Sherlock Holmes #10),4.18,368,11053,977,Hardcover,2010,Bantam Books
2,When You Reach Me,Rebecca Stead,0385737424,NULL,4.09,199,77843,10899,Hardcover,July 14th 2009,Wendy Lamb Books
3,Well-Schooled in Murder,Elizabeth  George,0553384813,(Inspector Lynley #3),4.12,432,20468,543,Paperback,May 1st 2007,Bantam
4,"Crooked Letter, Crooked Letter",Tom Franklin,0060594667,NULL,3.83,274,36442,4620,Hardcover,October 5th 2010,William Morrow
5,Payment in Blood,Elizabeth  George,NULL,(Inspector Lynley #2),4.01,432,16511,616,Paperback,June 1st 1990,Bantam Books
6,Sworn to Silence,Linda Castillo,0312374976,(Kate Burkholder #1),4.00,321,25541,2900,Hardcover,June 23rd 2009,Minotaur Books
7,Point of Origin,Patricia Cornwell,0751530484,(Kay Scarpetta #9),4.02,440,54962,633,Paperback,2000,Time Warner
8,Kingdom of the Blind,Louise Penny,1250066204,(Chief Inspector Armand Gamache #14),4.41,400,20151,2857,Hardcover,November 27th 2018,Minotaur Books
9,Death of a Gossip,M.C. Beaton,0446607134,(Hamish Macbeth  #1),3.72,179,10921,883,Paperback,February 1999,Warner Books
10,Heartsick,Chelsea Cain,0312368461,(Archie Sheridan & Gretchen Lowell #1),3.93,326,33243,2797,Hardcover,September 4th 2007,Minotaur Books
11,The Wife Between Us,Greer Hendricks,1250130921,NULL,3.84,346,127456,15019,Hardcover,January 9th 2018,St. Martin's Press
12,Harry Potter and the Sorcerer's Stone,J.K. Rowling,0439554934,(Harry Potter #1),4.47,320,5927831,95371,Hardcover,June 26th 1997,Scholastic Inc
13,Portrait in Death,J.D. Robb,0425189031,(In Death #16),4.38,347,29814,755,Mass Market Paperback,February 25th 2003,Berkley
14,Tricky Twenty-Two,Janet Evanovich,0345542967,(Stephanie Plum #22),3.94,282,41835,4158,Hardcover,November 17th 2015,Bantam
15,Death Masks,Jim Butcher,0451459407,(The Dresden Files #5),4.32,432,103397,2919,Mass Market Paperback,August 5th 2003,Roc
16,Unnatural Exposure,Patricia Cornwell,0751530492,(Kay Scarpetta #8),4.06,370,49792,615,Paperback,2000,Time Warner
17,A Drink Before the War,Dennis Lehane,0156029022,(Kenzie & Gennaro #1),3.95,282,33266,1860,Paperback,September 15th 2003,Mariner Books
18,Bones to Ashes,Kathy Reichs,0743294378,(Temperance Brennan #10),3.93,310,24297,1172,Hardcover,August 28th 2007,Scribner Book Company
19,The Brass Verdict,Michael Connelly,0316166294,(Mickey Haller #2),4.12,422,50602,3085,Hardcover,October 14th 2008,"Little, Brown & Company"
20,The Case of the Missing Marquess,Nancy Springer,0399243046,(Enola Holmes #1),3.85,224,7975,939,Hardcover,February 16th 2006,Philomel
21,Catering to Nobody,Diane Mott Davidson,0553584707,(A Goldy Bear Culinary Mystery #1),3.83,301,18363,805,Paperback,February 26th 2002,Bantam
22,The Widow,Fiona Barton,1101990260,(Kate Waters #1),3.49,324,72429,7717,Hardcover,February 16th 2016,NAL
23,The Kind Worth Killing,Peter  Swanson,0062267523,NULL,4.03,311,66321,7905,Hardcover,February 3rd 2015,William Morrow
24,Dirk Gently's Holistic Detective Agency,Douglas Adams,NULL,(Dirk Gently #1),3.98,306,108017,3067,Mass Market Paperback,2002,Pocket Books
25,Break No Bones,Kathy Reichs,0743233492,(Temperance Brennan #9),3.96,337,23942,941,Hardcover,July 11th 2006,Scribner Book Company
26,The Julius House,Charlaine Harris,0373262175,(Aurora Teagarden #4),3.84,256,15144,617,Mass Market Paperback,August 23rd 1996,Worldwide Library
27,Dead in the Family,Charlaine Harris,0441018645,(Sookie Stackhouse #10),3.89,311,144805,5440,Hardcover,May 4th 2010,Ace Books
28,The 6th Target,James Patterson,0316014796,(Women's Murder Club #6),4.03,390,51206,1673,Hardcover,May 8th 2007,Little Brown and Company
29,Murder on Astor Place,Victoria Thompson,0425168964,(Gaslight Mystery #1),3.89,278,9089,908,Mass Market Paperback,May 1st 1999,Berkley Prime Crime
30,The Casual Vacancy,J.K. Rowling,0316228532,NULL,3.29,503,281684,30378,Hardcover,September 27th 2012,"Little, Brown and Company"
31,Flying Too High,Kerry Greenwood,1590582373,(Phryne Fisher #2),3.86,156,8767,763,Hardcover,2006,Poisoned Pen Press
32,Rules of Prey,John Sandford,0425205819,(Lucas Davenport #1),4.12,479,65294,1930,Paperback,August 2nd 2005,G.P. Putnam's Sons
33,The Club Dumas,Arturo Pérez-Reverte,NULL,NULL,3.81,362,31289,1786,Paperback,May 1st 2006,Mariner Books
34,Blood Rites,Jim Butcher,0451459873,(The Dresden Files #6),4.34,452,97971,2659,Paperback,August 3rd 2004,Roc
35,The Hippopotamus Pool,Elizabeth Peters,0446603988,(Amelia Peabody   #8),4.17,430,9554,311,Mass Market Paperback,June 1st 1997,Grand Central Publishing
36,Devil in a Blue Dress,Walter Mosley,NULL,(Easy Rawlins #1),3.90,263,16696,1156,Paperback,September 17th 2002,Washington Square Press
37,Cross Bones,Kathy Reichs,0743453026,(Temperance Brennan #8),3.87,453,22340,966,Paperback,June 1st 2006,Pocket Star
38,The Apprentice,Tess Gerritsen,0345447867,(Rizzoli & Isles #2),4.14,376,44515,1948,Paperback,2008,Ballantine Books
39,The Talented Mr. Ripley,Patricia Highsmith,0393332144,(Ripley #1),3.94,320,46517,2734,Paperback,June 17th 2008,W. W. Norton
40,Blueberry Muffin Murder,Joanne Fluke,1575667223,(Hannah Swensen #3),3.87,310,15157,805,Paperback,February 1st 2003,Kensington
41,Holes,Louis Sachar,0439244196,(Holes #1),3.95,233,864532,18429,Paperback,September 2nd 2000,Scholastic
42,The Raven Boys,Maggie Stiefvater,0545424925,(The Raven Cycle #1),4.06,409,213818,25896,Hardcover,September 18th 2012,Scholastic Press
43,The Mysterious Mr. Quin,Agatha Christie,0007154844,(Harley Quin #1),3.72,396,9683,609,Paperback,2003,Harper Collins
44,Royal Flush,Rhys Bowen,042522788X,(Royal Spyness #3),3.93,306,10620,769,Hardcover,July 7th 2009,Berkley Publishing Group
45,The Last Coyote,Michael Connelly,075280944X,(Harry Bosch #4),4.23,400,52506,1703,Paperback,October 6th 1997,Orion
46,Seduction in Death,J.D. Robb,0749934395,(In Death #13),4.32,354,23173,677,Paperback,2004,Piatkus
47,Jack & Jill,James Patterson,0446692654,(Alex Cross #3),3.96,466,62354,1469,Paperback,August 1st 2003,Grand Central Publishing
48,Devil Bones,Kathy Reichs,0743294386,(Temperance Brennan #11),3.90,310,23122,1116,Hardcover,August 26th 2008,Scribner Book Company
49,Monday Mourning,Kathy Reichs,0743453018,(Temperance Brennan #7),4.03,383,27649,775,Paperback,June 1st 2005,Pocket Star
50,Harry Potter and the Chamber of Secrets,J.K. Rowling,0439064864,(Harry Potter #2),4.41,341,2294912,44008,Hardcover,June 2nd 1999,Arthur A. Levine Books / Scholastic Inc.
51,Black Coffee,Charles Osborne,0312970072,(Hercule Poirot #45.5),3.48,304,12028,784,Paperback,September 15th 1999,St. Martin's Paperbacks
52,Pretty Little Liars,Sara Shepard,0060887303,(Pretty Little Liars #1),3.88,286,177174,8726,Hardcover,October 1st 2006,HarperCollins Publishers
53,Towards Zero,Agatha Christie,NULL,(Superintendent Battle #5),3.87,301,12051,831,Paperback,2002,HarperCollins
54,Fatal Voyage,Kathy Reichs,1416510567,(Temperance Brennan #4),4.04,448,42917,1024,Paperback,April 26th 2005,Pocket Star Books
55,The Language of Bees,Laurie R. King,0553804545,(Mary Russell and Sherlock Holmes #9),4.16,435,12877,969,Hardcover,April 1st 2009,Random House
56,The Game,Laurie R. King,0553801945,(Mary Russell and Sherlock Holmes #7),4.17,400,11708,687,Hardcover,March 2nd 2004,Bantam
57,The Long Way Home,Louise Penny,1250022061,(Chief Inspector Armand Gamache #10),4.07,373,31976,3513,Hardcover,August 26th 2014,Minotaur Books
58,Shakespeare's Champion,Charlaine Harris,0425213102,(Lily Bard #2),3.83,214,15090,617,Mass Market Paperback,December 5th 2006,Berkley Books
59,A Share in Death,Deborah Crombie,0060534389,(Duncan Kincaid & Gemma James #1),3.78,288,11769,870,Mass Market Paperback,August 26th 2003,Avon
60,The Mystery at Lilac Inn,Carolyn Keene,1557091587,(Nancy Drew Mystery Stories #4),3.97,200,16311,584,Hardcover,May 1st 1994,Applewood Books
61,"Three Bedrooms, One Corpse",Charlaine Harris,0373261772,(Aurora Teagarden #3),3.80,256,16280,710,Mass Market Paperback,July 25th 1995,Worldwide Library
62,Murder in the Mews,Agatha Christie,1572702842,(Hercule Poirot #18),3.76,0,12069,523,Audio CD,October 21st 2002,AudioGO
63,Track of the Cat,Nevada Barr,0380721643,(Anna Pigeon  #1),3.86,218,15021,923,Paperback,1993,Avon
64,The Long Goodbye,Raymond Chandler,0394757688,(Philip Marlowe #6),4.22,379,28780,1810,Paperback,August 12th 1988,Vintage Crime/Black Lizard
65,Pines,Blake Crouch,1612183956,(Wayward Pines #1),3.90,305,76505,6462,Paperback,August 21st 2012,Thomas & Mercer
66,The 5th Horseman,James Patterson,1594831114,(Women's Murder Club #5),4.05,464,56565,1688,Audiobook,February 6th 2008,Time Warner AudioBooks
67,Witness in Death,J.D. Robb,0749934360,(In Death #10),4.31,339,25447,808,Paperback,July 1st 2004,Piatkus Books
68,Loyalty in Death,J.D. Robb,0749934182,(In Death #9),4.31,355,25479,813,Paperback,December 1st 2004,Piatkus Books
69,The Secret of Shadow Ranch,Carolyn Keene,000692526X,(Nancy Drew Mystery Stories #5),3.93,160,14920,522,Paperback,June 15th 1992,Armada
70,Top Secret Twenty-One,Janet Evanovich,0345542924,(Stephanie Plum #21),3.83,305,46690,4368,Hardcover,June 17th 2014,Bantam
71,The Poet,Michael Connelly,0446690457,(Jack McEvoy #1),4.20,510,68866,2386,Paperback,July 1st 2002,Grand Central Publishing
72,The Full Cupboard of Life,Alexander McCall Smith,1400031818,(No. 1 Ladies' Detective Agency #5),4.02,198,27332,1233,Paperback,January 25th 2005,Anchor
73,Knots and Crosses,Ian Rankin,0312956738,(Inspector Rebus #1),3.83,228,35998,1769,Paperback,December 15th 1995,St. Martin's Press
74,The Concrete Blonde,Michael Connelly,044661758X,(Harry Bosch #3),4.15,484,44580,1979,Paperback,February 1st 2007,Grand Central Publishing
75,In the Bleak Midwinter,Julia Spencer-Fleming,0312986769,(The Rev. Clare Fergusson & Russ Van Alstyne Mysteries #1),3.91,370,10915,1288,Mass Market Paperback,March 14th 2003,Minotaur Books
76,The Silent Patient,Alex Michaelides,1250301696,NULL,4.06,323,64987,9783,Hardcover,February 5th 2019,Celadon Books
77,Final Girls,Riley Sager,1101985364,NULL,3.80,342,42671,6673,Hardcover,July 11th 2017,Dutton
78,Perfume: The Story of a Murderer,Patrick Süskind,0140120831,NULL,4.02,263,272929,12281,Paperback,1987,Penguin Books
79,Silent on the Moor,Deanna Raybourn,0778326144,(Lady Julia Grey #3),4.03,465,11116,914,Paperback,2009,Mira Books
80,Strawberry Shortcake Murder,Joanne Fluke,1575667215,(Hannah Swensen #2),3.84,320,16168,983,Paperback,February 2nd 2002,Kensington
81,As Chimney Sweepers Come to Dust,Alan Bradley,0345539931,(Flavia de Luce  #7),3.94,392,21048,2992,Hardcover,January 6th 2015,Delacorte Press
82,Child 44,Tom Rob Smith,0446402397,(Leo Demidov #1),4.09,509,64996,5947,Mass Market Paperback,April 1st 2009,Grand Central Publishing
83,The Case-Book of Sherlock Holmes,Arthur Conan Doyle,1904633684,(Sherlock Holmes #9),4.19,303,17405,748,Hardcover,2004,Collector's Library
84,A Cold Day For Murder,Dana Stabenow,042513301X,(Kate Shugak #1),3.72,208,12397,1121,Paperback,June 1st 1992,Berkley
85,One Corpse Too Many,Ellis Peters,0446400513,(Chronicles of Brother Cadfael #2),4.06,214,11308,573,Paperback,March 1st 1994,Grand Central Publishing
86,"Farewell, My Lovely",Raymond Chandler,0394758277,(Philip Marlowe #2),4.15,292,27246,1430,Paperback,August 1992,Vintage Crime/Black Lizard
87,The Lying Game,Ruth Ware,1501156004,NULL,3.52,370,68217,6860,Hardcover,July 25th 2017,Gallery/Scout Press
88,Betrayal in Death,J.D. Robb,0425178579,(In Death #12),4.32,355,24356,723,Mass Market Paperback,March 1st 2001,Berkley Books
89,The Nature of the Beast,Louise Penny,1250022088,(Chief Inspector Armand Gamache #11),4.23,376,28688,3195,Hardcover,August 25th 2015,Minotaur Books
90,A Letter of Mary,Laurie R. King,000651085X,(Mary Russell and Sherlock Holmes #3),3.99,339,15973,972,Paperback,2001,HarperCollins
91,Joyland,Stephen King,1781162646,NULL,3.91,283,97475,10681,Paperback,June 4th 2013,Hard Case Crime
92,Mr. Mercedes,Stephen King,1476754454,(Bill Hodges Trilogy #1),3.95,436,194574,14921,Hardcover,June 3rd 2014,Scribner
93,Body of Evidence,Patricia Cornwell,0743493915,(Kay Scarpetta #2),4.01,403,58764,1090,Paperback,November 30th 2004,Pocket Books
94,The Thirteen Problems,Agatha Christie,0007120869,(Miss Marple #2),3.89,315,17708,1121,Paperback,2002,Harper
95,The Husband's Secret,Liane Moriarty,0399159347,NULL,3.94,396,453635,32589,Hardcover,July 30th 2013,Berkley
96,A Great Reckoning,Louise Penny,1250022134,(Chief Inspector Armand Gamache #12),4.42,389,34672,4098,Hardcover,August 30th 2016,Minotaur Books
97,The Mummy Case,Elizabeth Peters,0446601934,(Amelia Peabody   #3),4.04,327,14401,772,Mass Market Paperback,June 1st 1995,Warner Books (NY)
98,A Study in Scarlet Women,Sherry Thomas,042528140X,(Lady Sherlock #1),3.85,323,11974,2255,Paperback,October 18th 2016,Berkley Books
99,Dumb Witness,Agatha Christie,0007120796,(Hercule Poirot #16),3.83,411,18068,1000,Paperback,2002,HarperCollins
100,Flaggermusmannen,Jo Nesbø,8203180728,(Harry Hole #1),3.54,339,68765,5295,Paperback,July 2nd 2005,Aschehoug
101,Pardonable Lies,Jacqueline Winspear,0312426216,(Maisie Dobbs #3),4.09,359,23755,1759,Paperback,June 27th 2006,Picador USA
102,The Keeper of Lost Causes,Jussi Adler-Olsen,0525952489,(Afdeling Q #1),3.99,400,55299,4616,Hardcover,August 23rd 2011,Dutton Adult
103,The Thin Man,Dashiell Hammett,0679722637,NULL,3.96,201,24515,1817,Paperback,July 17th 1989,Vintage Crime/Black Lizard
104,The Pelican Brief,John Grisham,0385339704,NULL,3.98,400,331756,2294,Paperback,April 25th 2006,Delta
105,The Cold Dish,Craig Johnson,0143036424,(Walt Longmire #1),4.13,354,24225,3094,Paperback,March 28th 2006,Penguin Books
106,Notorious Nineteen,Janet Evanovich,NULL,(Stephanie Plum #19),3.92,302,58103,5202,Hardcover,November 20th 2012,Headline Book Publishing
107,Unnatural Death,Dorothy L. Sayers,0061043583,(Lord Peter Wimsey #3),4.10,264,22382,736,Paperback,July 11th 1995,HarperTorch
108,H is for Homicide,Sue Grafton,044900063X,(Kinsey Millhone #8),3.90,305,27648,773,Paperback,June 23rd 1997,Ballantine Books
109,The Body Farm,Patricia Cornwell,0425201449,(Kay Scarpetta #5),4.05,351,58820,1141,Paperback,December 28th 2004,Berkley
110,J is for Judgment,Sue Grafton,0449000656,(Kinsey Millhone #10),4.02,360,46928,679,Paperback,December 16th 1997,Ballantine Books
111,And Only to Deceive,Tasha Alexander,006114844X,(Lady Emily #1),3.73,321,15041,1877,Paperback,October 10th 2006,William Morrow Paperbacks
112,The Diviners,Libba Bray,031612611X,(The Diviners #1),3.97,578,60809,9329,Hardcover,September 18th 2012,"Little, Brown Books for Young Readers"
113,I is for Innocent,Sue Grafton,0449221512,(Kinsey Millhone #9),3.93,352,27301,682,Paperback,March 22nd 1993,Fawcett Books
114,Murder Must Advertise,Dorothy L. Sayers,0061043559,(Lord Peter Wimsey #10),4.21,356,17551,807,Paperback,May 10th 1995,HarperTorch
115,Three Act Tragedy,Agatha Christie,0425205975,(Hercule Poirot #11),3.82,336,17246,997,Paperback,July 5th 2005,Berkley
116,The Nine Tailors,Dorothy L. Sayers,0151658978,(Lord Peter Wimsey #11),4.06,397,13609,1021,Hardcover,October 1st 1989,Houghton Mifflin Harcourt P
117,2nd Chance,James Patterson,0446696633,(Women's Murder Club #2),4.03,400,83988,2452,Paperback,May 20th 2005,Grand Central Publishing
118,K is for Killer,Sue Grafton,0449000664,(Kinsey Millhone #11),3.98,292,35656,684,Paperback,June 23rd 1997,Ballantine Books
120,Sadie,Courtney Summers,1250105714,NULL,4.22,308,26475,7467,Hardcover,September 4th 2018,Wednesday Books
121,The Bone Collector,Jeffery Deaver,0451188454,(Lincoln Rhyme #1),4.19,528,138567,2158,Paperback,April 1st 1998,Signet Book
122,The Good Girl,Mary Kubica,0778316556,NULL,3.81,352,166350,13819,Hardcover,July 29th 2014,Harlequin MIRA
123,Club Dead,Charlaine Harris,1841493015,(Sookie Stackhouse #3),4.03,274,206261,5300,Mass Market Paperback,May 6th 2006,Orbit
124,Visions of Sugar Plums,Janet Evanovich,0312986343,(Stephanie Plum #8.5),3.69,230,69186,1770,Paperback,November 17th 2003,St Martins Pr
125,The Crossing Places,Elly Griffiths,0547229895,(Ruth Galloway #1),3.88,320,21993,2495,Hardcover,January 5th 2010,Houghton Mifflin Harcourt
126,All the Missing Girls,Megan Miranda,NULL,NULL,3.78,384,94724,8887,Kindle Edition,June 28th 2016,Simon & Schuster
127,Reconstructing Amelia,Kimberly McCreight,006222543X,NULL,3.83,382,112709,11081,Hardcover,April 2nd 2013,HarperCollins
128,"One, Two, Buckle My Shoe",Agatha Christie,1572703857,(Hercule Poirot #23),3.75,0,18995,925,Audio CD,March 16th 2004,HarperCollins Publishers
129,Red Dragon,Thomas  Harris,0525945563,(Hannibal Lecter #1),4.03,348,238422,4179,Hardcover,May 22nd 2000,Dutton
130,The Cat Who Could Read Backwards,Lilian Jackson Braun,0425195201,(Cat Who... #1),3.85,256,26852,1141,Paperback,August 5th 2003,Berkley Trade
131,Tell No One,Harlan Coben,0440236703,NULL,4.11,370,100557,4563,Mass Market Paperback,August 25th 2009,Dell Publishing Company
132,The Hollow,Agatha Christie,0007121024,(Hercule Poirot #26),3.79,384,17016,958,Paperback,2002,HarperCollins
133,Origin,Dan Brown,0385514239,(Robert Langdon #5),3.85,461,192857,20161,Hardcover,October 3rd 2017,Doubleday Books
134,A Caribbean Mystery,Agatha Christie,0451199928,(Miss Marple #10),3.79,224,22071,1137,Paperback,March 1st 2000,Signet
135,The Secret History,Donna Tartt,1400031702,NULL,4.09,559,241236,17347,Paperback,April 13th 2004,Vintage
136,4th of July,James Patterson,0446613363,(Women's Murder Club #4),4.06,448,67410,1935,Paperback,June 1st 2006,Vision
137,The Name of the Rose,Umberto Eco,0156001314,NULL,4.12,536,262699,7463,Paperback,September 28th 1994,Harvest Books
138,The Anatomist's Wife,Anna Lee Huber,0425253287,(Lady Darby Mystery #1),3.93,357,8170,1200,Paperback,November 6th 2012,Berkley
