id,title,author,ISBN,series,avg_rating,pages,rating_count,review_count,book_format,published_year,publisher
1,Side Effects,Woody Allen,0345343352,,3.98,213,6663,302,Paperback,September 12th 1986,Ballantine Books
50,"Ouran High School Host Club, Vol. 5",Bisco Hatori,1421503298,(Ouran High School Host Club #5),4.48,176,16816,165,Paperback,March 7th 2006,VIZ Media
49,Sense and Sensibility and Sea Monsters,Ben H. Winters,1594744424,,3.27,340,10945,1120,Paperback,September 15th 2009,Quirk Books
48,Stop in the Name of Pants!,Louise Rennison,0061459321,(Confessions of Georgia Nicolson #9),4.16,286,11692,399,Hardcover,July 1st 2008,HarperTeen
47,I'm Dreaming of a Black Christmas,Lewis Black,0142428558,,3.40,4,1450,225,Audio CD,November 2nd 2010,Penguin Audio
46,"Fairy Tail, Vol. 01",Hiro Mashima,0345501330,(Fairy Tail #1),4.39,198,83472,922,Paperback,March 25th 2008,Del Rey Books
45,Die Känguru-Chroniken: Ansichten eines vorlauten Beuteltiers,Marc-Uwe Kling,3548372570,(Die Känguru-Chroniken #1),4.30,271,6189,321,Paperback,2009,Ullstein
44,Vader’s Little Princess:,Jeffrey Brown,1452118698,(Star Wars: Darth Vader and Kids),4.11,64,10263,1036,Hardcover,April 23rd 2013,Chronicle Books
43,Mother. Wife. Sister. Human. Warrior. Falcon. Yardstick. Turban. Cabbage.,Rob Delaney,081299308X,,3.77,208,7330,587,Hardcover,November 5th 2013,Spiegel & Grau
42,Let's Pretend This Never Happened: A Mostly True Memoir,Jenny  Lawson,0399159010,,3.90,318,146130,17157,Hardcover,April 17th 2012,Amy Einhorn: Putnam
41,Undead and Unemployed,MaryJanice Davidson,0425197484,(Undead #2),3.93,272,31825,943,Mass Market Paperback,August 3rd 2004,Berkley
40,The Stinky Cheese Man and Other Fairly Stupid Tales,Jon Scieszka,067084487X,,4.20,52,87303,2155,Hardcover,October 1st 1992,Viking Books for Young Readers
39,There's Treasure Everywhere,Bill Watterson,0836213122,(Calvin and Hobbes #10),4.75,176,18956,176,Paperback,March 1st 1996,Andrews McMeel Publishing
38,Something Under the Bed is Drooling,Bill Watterson,0833554549,(Calvin and Hobbes #2),4.70,128,12017,255,Hardcover,1988,Turtleback Books
106,Northanger Abbey,Jane Austen,1593082649,,3.81,251,270080,10725,Paperback,March 3rd 2005,Barnes & Noble Classics
105,Choke,Chuck Palahniuk,0385720920,,3.69,293,176474,5747,Paperback,June 2002,Anchor Books
104,Pawnee: The Greatest Town in America,Leslie Knope,1401310648,,4.12,240,4456,339,Paperback,October 11th 2011,Hyperion
103,The Funny Thing Is...,Ellen DeGeneres,0743247639,,3.61,179,8920,864,Paperback,October 1st 2004,Simon
102,High Fidelity,Nick Hornby,1573225517,,3.94,340,162519,5333,Kindle Edition,May 5th 2005,Riverhead Books
101,You Can't Touch My Hair: And Other Things I Still Have to Explain,Phoebe Robinson,0143129201,,3.85,320,14693,1820,Paperback,October 4th 2016,Plume Books
100,As You Like It,William Shakespeare,074348486X,,3.83,263,67153,1676,Paperback,August 23rd 2011,Penguin
99,The Last Straw,Jeff Kinney,0810970686,(Diary of a Wimpy Kid #3),4.13,218,103987,4735,Hardcover,January 1st 2009,Amulet Books
451,Much Ado About Nothing,William Shakespeare,0743482751,,4.06,246,200330,3281,Paperback,2004,Simon
450,Pyramids,Terry Pratchett,0061020656,(Discworld #7),3.91,341,61520,1647,Mass Market Paperback,2008,Harper
449,The Long Dark Tea-Time of the Soul,Douglas Adams,0671742515,(Dirk Gently #2),4.06,307,72118,1742,Mass Market Paperback,February 15th 1991,Pocket Books
