id,title,author,ISBN,series,avg_rating,pages,rating_count,review_count,book_format,published_date,publisher
26,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,0451528956,NULL,3.80,144,319387,10481,Paperback,September 2nd 2003,Signet Classics
25,Horns,Joe Hill,0061147958,NULL,3.92,370,89583,8014,Hardcover,March 1st 2010,William Morrow
1,The Shining,Stephen King,0450040186,(The Shining #1),4.21,447,964207,18960,Paperback,July 1st 1980,New English Library (Hodder & Stoughton)
24,Cell,Stephen King,1416524517,NULL,3.65,449,174468,5463,Mass Market Paperback,December 2006,Pocket Star Books
27,The Little Stranger,Sarah Waters,NULL,NULL,3.53,512,38034,5470,Paperback,May 4th 2010,Riverhead Books
20,Bird Box,Josh Malerman,NULL,(Bird Box #1),4.03,262,98263,13692,Hardcover,May 13th 2014,Ecco
19,NOS4A2,Joe Hill,0062200577,NULL,4.07,692,78070,9572,Hardcover,April 30th 2013,William Morrow
18,Christine,Stephen King,2253147699,NULL,3.76,411,177215,2790,Paperback,June 13th 2001,LGF
17,Needful Things,Stephen King,045057458X,NULL,3.90,790,183746,3223,Paperback,1992,Hodder & Stoughton Ltd
16,House of Leaves,Mark Z. Danielewski,038560310X,NULL,4.12,705,106193,9544,Paperback,March 7th 2000,Random House
15,Heart-Shaped Box,Joe Hill,0061147931,NULL,3.83,376,90791,7654,Hardcover,February 13th 2007,William Morrow
14,Doctor Sleep,Stephen King,1476727651,(The Shining #2),4.10,531,141894,15243,Hardcover,September 24th 2013,Scribner
13,Cujo,Stephen King,0307348245,NULL,3.70,432,197893,3808,Paperback,June 6th 2006,Plaza y Janés
172,The Great God Pan,Arthur Machen,1871592119,NULL,3.75,82,7907,715,Paperback,January 1st 1995,Creation Books
171,Tick Tock,Dean Koontz,0345405137,NULL,3.72,352,29635,953,Paperback,September 20th 1996,Random House (NY)
21,The Exorcist,William Peter Blatty,0061007226,(The Exorcist #1),4.16,385,157500,3991,Mass Market Paperback,February 1st 1994,HarperTorch
170,Midnight,Dean Koontz,0425194515,NULL,3.81,496,22568,511,Paperback,February 3rd 2004,Berkley
169,Anno Dracula,Kim Newman,0857680838,(Anno Dracula #1),3.79,547,11343,1053,Paperback,May 24th 2011,Titan Books
168,Lasher,Anne Rice,0099471434,(Lives of the Mayfair Witches #2),3.85,883,53750,899,Paperback,November 4th 2004,Arrow
250,Deadline,Mira Grant,031608106X,(Newsflesh #2),4.10,584,22546,2175,Paperback,June 1st 2011,Orbit
23,Let the Right One In,John Ajvide Lindqvist,1847241697,NULL,4.07,513,78080,5445,Hardcover,August 2nd 2007,Quercus Publishing
22,Night Shift,Stephen King,0450042685,NULL,3.99,409,131714,2733,Paperback,April 1979,New English Library
249,The Library at Mount Char,Scott  Hawkins,0553418629,NULL,4.09,388,25012,4777,Paperback,March 15th 2016,Broadway Books
248,The Omen,David Seltzer,0451219422,(The Omen #1),4.00,272,55786,395,Paperback,June 6th 2006,Signet
247,Relic,Douglas Preston,0765354942,(Aloysius Pendergast #1),4.02,480,84685,3082,Paperback,August 1st 2005,Tor Books
246,The Ballad of Black Tom,Victor LaValle,0765387867,NULL,3.91,149,9572,1630,Paperback,February 16th 2016,Tor.com
245,The Winter People,Jennifer  McMahon,0385538499,NULL,3.77,317,40286,5826,Hardcover,February 11th 2014,Doubleday
244,The Running Man,Richard Bachman,0451197968,NULL,3.86,317,86873,2633,Paperback,August 1999,Signet
243,Song of Susannah,Stephen King,1416521496,(The Dark Tower #6),3.99,544,115303,3304,Mass Market Paperback,June 1st 2006,Pocket Books
242,The Girl Next Door,Jack Ketchum,0843955430,NULL,3.97,370,19360,2125,Paperback,June 1st 2005,Leisure Books
241,The Phantom of the Opera,Gaston Leroux,0060809248,NULL,3.97,360,181121,5613,Paperback,December 30th 1987,Harper Perennial
240,The Road,Cormac McCarthy,0307265439,NULL,3.96,241,638251,42486,Hardcover,September 26th 2006,Alfred A. Knopf
239,Summer of Night,Dan Simmons,0446362662,(Seasons of Horror #1),4.02,600,17693,1179,Mass Market Paperback,March 1st 1992,Warner Books
238,Ring,Kōji Suzuki,1932234411,(Ring #1),3.82,282,12951,971,Paperback,April 25th 2004,Vertical
237,Carrion Comfort,Dan Simmons,0446359203,NULL,3.90,884,17052,926,Paperback,October 1st 1990,Warner Books
236,My Best Friend's Exorcism,Grady Hendrix,NULL,NULL,3.92,337,14135,2659,Kindle Edition,May 17th 2016,Quirk Books
235,The Dark Tower,Stephen King,NULL,(The Dark Tower #7),4.28,1050,126510,5070,Paperback,September 1st 2006,Pocket Books
232,Wolves of the Calla,Stephen King,141651693X,(The Dark Tower #5),4.19,931,137754,3758,Mass Market Paperback,February 1st 2006,Pocket Books
231,Head Games,Joe Hill,1600104835,(Locke & Key #2),4.34,160,29094,1759,Hardcover,February 2015,IDW Publishing
230,The Tell-Tale Heart and Other Writings,Edgar Allan Poe,0553212281,NULL,4.16,448,205086,1170,Mass Market Paperback,September 28th 2004,Bantam Classics
229,The Monstrumologist,Rick Yancey,1416984488,(The Monstrumologist #1),3.88,434,16750,2647,Hardcover,September 22nd 2009,Simon
228,The Forest of Hands and Teeth,Carrie Ryan,0575090855,(The Forest of Hands and Teeth #1),3.59,310,77988,8634,Paperback,July 2009,Gollancz
227,Scary Stories to Tell in the Dark,Alvin Schwartz,0590431978,(Scary Stories #1),4.07,111,45762,1974,Paperback,October 1st 1989,"Scholastic, Inc."
