id,title,author,ISBN,series,avg_rating,pages,rating_count,review_count,book_format,published_year,publisher
1,Blindsighted,Karin Slaughter,0380820889,(Grant County #1),4.10,418,58824,2663,Paperback,October 1st 2002,Harper
50,Holes,Louis Sachar,0439244196,(Holes #1),3.95,233,868227,18547,Paperback,September 2nd 2000,Scholastic
49,The Mysterious Mr. Quin,Agatha Christie,0007154844,(Harley Quin #1),3.72,396,9778,625,Paperback,2003,Harper Collins
48,The Last Coyote,Michael Connelly,075280944X,(Harry Bosch #4),4.23,400,52963,1722,Paperback,October 6th 1997,Orion
47,Cross Bones,Kathy Reichs,0743453026,(Temperance Brennan #8),3.87,453,22433,975,Paperback,June 1st 2006,Pocket Star
46,Blueberry Muffin Murder,Joanne Fluke,1575667223,(Hannah Swensen #3),3.87,310,15285,818,Paperback,February 1st 2003,Kensington
45,Devil in a Blue Dress,Walter Mosley,,(Easy Rawlins #1),3.90,263,16812,1163,Paperback,September 17th 2002,Washington Square Press
44,The Hippopotamus Pool,Elizabeth Peters,0446603988,(Amelia Peabody   #8),4.17,430,9603,316,Mass Market Paperback,June 1st 1997,Grand Central Publishing
43,Blood Rites,Jim Butcher,0451459873,(The Dresden Files #6),4.34,452,98484,2682,Paperback,August 3rd 2004,Roc
42,The Casual Vacancy,J.K. Rowling,0316228532,,3.29,503,282811,30443,Hardcover,September 27th 2012,"Little, Brown and Company"
41,The Club Dumas,Arturo Pérez-Reverte,,,3.81,362,31436,1797,Paperback,May 1st 2006,Mariner Books
40,Rules of Prey,John Sandford,0425205819,(Lucas Davenport #1),4.12,479,65965,1947,Paperback,August 2nd 2005,G.P. Putnam's Sons
39,Murder on Astor Place,Victoria Thompson,0425168964,(Gaslight Mystery #1),3.89,278,9193,924,Mass Market Paperback,May 1st 1999,Berkley Prime Crime
38,Dead in the Family,Charlaine Harris,0441018645,(Sookie Stackhouse #10),3.89,311,145100,5449,Hardcover,May 4th 2010,Ace Books
100,Lord Edgware Dies,Agatha Christie,0002314576,(Hercule Poirot #9),3.90,260,24688,1292,Paperback,1977,Collins for the Crime Club
106,A Lesson in Secrets,Jacqueline Winspear,0061727679,(Maisie Dobbs #8),4.03,321,15511,1411,Hardcover,March 22nd 2011,Harper
105,Dark Matter,Blake Crouch,1101904224,,4.10,342,176627,23913,Hardcover,July 26th 2016,Crown
104,The Last Policeman,Ben H. Winters,1594745765,(The Last Policeman #1),3.76,316,22675,3001,Paperback,July 10th 2012,Quirk Books
103,K is for Killer,Sue Grafton,0449000664,(Kinsey Millhone #11),3.98,292,35832,692,Paperback,June 23rd 1997,Ballantine Books
102,A Caribbean Mystery,Agatha Christie,0451199928,(Miss Marple #10),3.80,224,22342,1148,Paperback,March 1st 2000,Signet
101,Cover Her Face,P.D. James,0743219570,(Adam Dalgliesh #1),3.94,250,28362,1108,Paperback,May 8th 2001,Scribner
99,The Man in the Brown Suit,Agatha Christie,0007151667,(Colonel Race #1),3.96,381,71081,1448,Paperback,2002,HarperCollinspublishers
98,A Morbid Taste for Bones,Ellis Peters,0446400157,(Chronicles of Brother Cadfael #1),3.98,197,28928,1339,Mass Market Paperback,1994,Grand Central Publishing
451,And Then There Were None,Agatha Christie,0312330871,,4.25,264,644249,25435,Paperback,May 3rd 2004,St. Martin's Press
450,Digital Fortress,Dan Brown,,,3.64,510,514178,8631,Paperback,2004,Corgi books
449,Peril at End House,Agatha Christie,0007119305,(Hercule Poirot #8),3.93,287,31470,1707,Paperback,2001,HarperCollins
448,Mr. Penumbra's 24-Hour Bookstore,Robin Sloan,0374214913,(Mr. Penumbra's 24-Hour Bookstore #1),3.75,288,157695,23678,Hardcover,October 2nd 2012,"Farrar, Straus and Giroux"
447,The Secret History,Donna Tartt,1400031702,,4.09,559,244856,17623,Paperback,April 13th 2004,Vintage
446,Case Histories,Kate Atkinson,0316010707,(Jackson Brodie #1),3.83,389,70816,5686,Paperback,October 17th 2005,Back Bay Books
445,Broken Harbor,Tana French,0143123300,(Dublin Murder Squad #4),3.94,450,64761,6476,Paperback,April 30th 2013,Penguin Books
444,Ten Big Ones,Janet Evanovich,0312936222,(Stephanie Plum #10),4.14,319,87592,2012,Mass Market Paperback,June 21st 2005,St. Martin's Press
500,Whose Body?,Dorothy L. Sayers,0061043575,(Lord Peter Wimsey #1),3.89,212,38062,2199,Paperback,July 11th 1995,HarperTorch
499,Three to Get Deadly,Janet Evanovich,0312966091,(Stephanie Plum #3),4.15,344,128154,3196,Mass Market Paperback,July 15th 1998,St. Martin's Press
498,The Weed That Strings the Hangman's Bag,Alan Bradley,0385342314,(Flavia de Luce  #2),3.99,364,44253,5018,Hardcover,March 25th 2010,Delacorte Press
497,We Were Liars,E. Lockhart,,,3.84,242,387418,43867,Kindle Edition,May 13th 2014,Delacorte Press
496,The Likeness,Tana French,0143115626,(Dublin Murder Squad #2),4.06,466,102152,8571,Paperback,May 1st 2009,Penguin Books
495,One of Us Is Lying,Karen M. McManus,,(One of Us is Lying #1),4.06,361,114696,17319,Kindle Edition,May 30th 2017,Delacorte Press
494,The Body in the Library,Agatha Christie,157912626X,(Miss Marple #3),3.85,191,54272,2628,Hardcover,September 1st 2006,Black Dog & Leventhal Publishers
493,The Complete Sherlock Holmes,Arthur Conan Doyle,0553328255,(Sherlock Holmes),4.51,1796,156169,3391,Paperback,October 1st 1986,Bantam Classics
492,Inferno,Dan Brown,0385537859,(Robert Langdon #4),3.84,463,418159,35893,Hardcover,May 14th 2013,Doubleday
491,The Sign of Four,Arthur Conan Doyle,0140439072,(Sherlock Holmes #2),3.94,129,89032,3957,Paperback,July 5th 2001,Penguin Classics
489,The Lovely Bones,Alice Sebold,0316166685,,3.79,372,1841478,39025,Mass Market Paperback,September 1st 2006,"Little, Brown and Company"
488,Crocodile on the Sandbank,Elizabeth Peters,,(Amelia Peabody   #1),4.02,262,55746,3898,Kindle Edition,March 1st 2010,Mysterious Press
487,The Woman in Cabin 10,Ruth Ware,1501132938,,3.68,340,266394,23933,Hardcover,July 19th 2016,Gallery/Scout Press
486,The Thirteenth Tale,Diane Setterfield,0743298020,,3.96,406,252018,21261,Hardcover,September 12th 2006,Atria Books
485,A is for Alibi,Sue Grafton,0312938993,(Kinsey Millhone #1),3.84,308,146714,4306,Paperback,November 1st 2005,St. Martin's Press
490,Two for the Dough,Janet Evanovich,0140255559,(Stephanie Plum #2),4.11,326,138775,4444,Paperback,June 1996,Penguin Books
484,Maisie Dobbs,Jacqueline Winspear,0142004332,(Maisie Dobbs #1),3.92,309,69612,6646,Paperback,May 25th 2004,Penguin
483,The Curious Incident of the Dog in the Night-Time,Mark Haddon,1400032717,,3.87,226,1063190,40888,Paperback,May 18th 2004,Vintage
477,Rebecca,Daphne du Maurier,0316323705,,4.22,449,390630,19469,ebook,December 17th 2013,"Little, Brown and Company"
482,The Shadow of the Wind,Carlos Ruiz Zafón,0143034901,(El cementerio de los libros olvidados #1),4.26,487,389787,30447,Paperback,January 25th 2005,Penguin Books
481,The Beekeeper's Apprentice,Laurie R. King,0553381520,(Mary Russell and Sherlock Holmes #1),4.07,341,63569,5641,Paperback,March 26th 2002,Bantam
480,The Westing Game,Ellen Raskin,014240120X,,4.02,182,144723,9494,Paperback,April 12th 2004,Puffin
479,Career of Evil,Robert Galbraith,,(Cormoran Strike #3),4.22,498,137485,12910,Kindle Edition,June 2018,Mulholland Books
478,The A.B.C. Murders,Agatha Christie,1579126243,(Hercule Poirot #13),4.00,252,77634,3591,Hardcover,September 1st 2006,Black Dog & Leventhal Publishers
476,The No. 1 Ladies' Detective Agency,Alexander McCall Smith,1400034779,(Damenes detektivbyrå nr. 1),3.77,235,213007,10524,Paperback,February 6th 2003,Anchor Books
475,The Lost Symbol,Dan Brown,0385504225,(Robert Langdon #3),3.69,509,471106,25998,Hardcover,September 15th 2009,Doubleday
474,Death on the Nile,Agatha Christie,0553119222,(Hercule Poirot #17),4.09,214,96946,3724,Paperback,1978,Bantam Books
473,Murder at the Vicarage,Agatha Christie,1579126251,(Miss Marple #1),4.05,288,124074,3220,Hardcover,September 1st 2006,Black Dog & Leventhal Publishers
472,The Adventures of Sherlock Holmes,Arthur Conan Doyle,,(Sherlock Holmes #3),4.31,339,215220,5862,Paperback,October 22nd 1998,Oxford University Press
471,Still Life,Louise Penny,0312948557,(Chief Inspector Armand Gamache #1),3.88,293,114253,10383,Mass Market Paperback,May 1st 2007,St. Martin's Paperbacks
470,Sharp Objects,Gillian Flynn,,,3.95,254,530064,38605,Paperback,2006,Broadway Paperbacks
469,Dark Places,Gillian Flynn,0307341569,,3.93,349,492698,32721,Hardcover,May 5th 2009,Shaye Areheart Books
468,The Silkworm,Robert Galbraith,0316206873,(Cormoran Strike #2),4.04,455,188788,15936,Hardcover,June 24th 2014,Mulholland Books
