id,title,author,ISBN,series,avg_rating,pages,rating_count,review_count,book_format,published_year,publisher
1,Suddenly You,Lisa Kleypas,0061259357,,3.98,384,18780,1094,Mass Market Paperback,November 28th 2006,Avon
49,The Immortal Highlander,Karen Marie Moning,0440237564,(Highlander #6),4.34,348,30983,1185,Mass Market Paperback,July 26th 2005,Dell
48,Never Judge a Lady by Her Cover,Sarah MacLean,0062068512,(The Rules of Scoundrels #4),3.95,376,12534,1335,Mass Market Paperback,November 25th 2014,Avon
47,Kiss of Midnight,Lara Adrian,0553589377,(Midnight Breed #1),3.93,402,56832,2788,Mass Market Paperback,May 1st 2007,Dell
46,About That Night,Julie James,0425246957,(FBI/US Attorney #3),4.06,284,21342,1337,Mass Market Paperback,April 3rd 2012,Berkley Sensation
44,Dance with the Devil,Sherrilyn Kenyon,0312984839,(Dark-Hunter #3),4.39,343,57574,1873,Mass Market Paperback,November 28th 2003,St. Martin's Press
45,The Wedding,Julie Garwood,0743467213,(Lairds' Fiancées #2),4.18,384,26071,924,Paperback,January 1st 2003,Pocket Books
43,The Highlander's Touch,Karen Marie Moning,044024417X,(Highlander #3),4.14,356,28598,1144,Paperback,May 29th 2007,Dell Publishing Company
42,No Good Duke Goes Unpunished,Sarah MacLean,0062068547,(The Rules of Scoundrels #3),3.89,384,13751,1410,Mass Market Paperback,November 26th 2013,Avon
41,The Phantom of the Opera,Gaston Leroux,0060809248,,3.97,360,181880,5663,Paperback,December 30th 1987,Harper Perennial
40,"I'd Tell You I Love You, But Then I'd Have to Kill You",Ally Carter,1423100034,(Gallagher Girls #1),3.83,284,166843,7169,Hardcover,May 1st 2006,Hyperion Books for Children
39,The Countess Conspiracy,Courtney Milan,1937248208,(Brothers Sinister #3),3.93,309,8006,1029,ebook,December 16th 2013,Courtney Milan
38,Dreamfever,Karen Marie Moning,0385341652,(Fever #4),4.42,386,84634,4617,Hardcover,August 18th 2009,Delacorte Press
37,It's Not Summer Without You,Jenny Han,1416995552,(Summer #2),4.11,288,98860,4825,Hardcover,April 27th 2010,Simon
99,The Duchess War,Courtney Milan,1937248097,(Brothers Sinister #1),3.83,270,19485,2071,ebook,December 8th 2012,Courtney Milan
105,Say Yes to the Marquess,Tessa Dare,006224020X,(Castles Ever After #2),3.84,384,11544,1466,Mass Market Paperback,December 30th 2014,Avon
104,Angelfall,Susan Ee,,(Penryn & the End of Days #1),4.16,288,148191,14998,Kindle Edition,August 28th 2012,Skyscape
103,Dead as a Doornail,Charlaine Harris,0441013333,(Sookie Stackhouse #5),4.01,297,189301,3925,Mass Market Paperback,April 25th 2006,Ace Books
102,The Raven Boys,Maggie Stiefvater,0545424925,(The Raven Cycle #1),4.06,409,216516,26200,Hardcover,September 18th 2012,Scholastic Press
101,Frostbite,Richelle Mead,,(Vampire Academy #2),4.29,327,289178,10779,Paperback,April 10th 2008,Razorbill
100,Lover Avenged,J.R. Ward,0451225856,(Black Dagger Brotherhood #7),4.38,527,99222,3803,Hardcover,April 28th 2009,NAL
98,Aristotle and Dante Discover the Secrets of the Universe,Benjamin Alire Sáenz,1442408928,(Aristotle and Dante Discover the Secrets of the Universe #1),4.34,359,191024,27355,Hardcover,February 21st 2012,Simon & Schuster Books for Young Readers
97,An Offer From a Gentleman,Julia Quinn,,(Bridgertons #3),4.07,390,34195,1902,Mass Market Paperback,October 13th 2009,Avon
450,Secrets of a Summer Night,Lisa Kleypas,0061259349,(Wallflowers #1),4.05,384,46161,2476,Paperback,November 28th 2006,Avon
449,Bet Me,Jennifer Crusie,0312987854,,3.93,391,81404,3554,Mass Market Paperback,August 31st 2004,St. Martin's Paperbacks
448,Beautiful Creatures,Kami Garcia,0316042676,(Beautiful Creatures #1),3.76,563,504046,21634,Hardcover,December 1st 2009,"Little, Brown and Company"
447,Wait for You,J. Lynn,,(Wait for You #1),4.18,332,126225,8003,Nook,February 26th 2013,J. Lynn
446,Beautiful Bastard,Christina Lauren,1476730105,(Beautiful Bastard #1),4.03,320,135860,8181,ebook,February 12th 2013,Gallery Books
445,Obsidian,Jennifer L. Armentrout,,(Lux #1),4.21,335,202055,16680,Paperback,May 8th 2012,Entangled Teen
444,Tangled,Emma Chase,,(Tangled #1),4.10,254,100105,9163,Kindle Edition,August 2nd 2013,Gallery Books
443,Where She Went,Gayle Forman,0525422943,(If I Stay #2),4.03,297,241762,19598,Hardcover,April 5th 2011,Dutton Juvenile
499,The Princess Bride,William Goldman,0345418263,,4.26,398,712641,18259,Paperback,July 15th 2003,Ballantine Books (Ballantine Reader's Circle)
498,The Host,Stephenie Meyer,0316068047,(The Host #1),3.84,620,830170,40764,Hardcover,May 6th 2008,"Little, Brown and Company"
497,Shiver,Maggie Stiefvater,0545123267,(The Wolves of Mercy Falls  #1),3.77,392,403706,22053,Hardcover,August 1st 2009,Scholastic Press
