id,title,author,ISBN,series,avg_rating,pages,rating_count,review_count,book_format,published_year,publisher
49,Jane Doe,Victoria Helen Stone,,(Jane Doe #1),4.05,267,11702,1575,Kindle Edition,August 1st 2018,Lake Union Publishing
50,The Witch Elm,Tana French,0735224641,,3.56,528,36080,5759,Paperback,July 30th 2019,Penguin Books
45,There's Someone Inside Your House,Stephanie Perkins,0525426019,,3.38,287,13386,3122,Hardcover,September 26th 2017,Dutton Books for Young Readers
1,The Fireman,Joe Hill,006220064X,,3.90,768,42275,6225,Paperback,January 3rd 2017,William Morrow Paperbacks
48,Alone,Lisa Gardner,0553584537,(Detective D.D. Warren #1),3.97,451,47235,2113,Paperback,December 27th 2005,Bantam
51,Daemon,Daniel Suarez,0451228731,(Daemon #1),4.17,632,36009,2959,Mass Market Paperback,December 29th 2009,Signet
43,Brilliance,Marcus Sakey,1611099692,(Brilliance Saga #1),3.96,444,27199,2289,Paperback,July 16th 2013,Thomas & Mercer
46,Pretty Baby,Mary Kubica,0778317706,,3.74,380,40218,3935,Hardcover,July 28th 2015,MIRA
42,Before She Knew Him,Peter  Swanson,0062838156,,3.85,309,14356,2234,Hardcover,March 5th 2019,William Morrow
199,Friend Request,Laura  Marshall,,,3.80,385,28994,2365,Kindle Edition,September 5th 2017,Grand Central Publishing
348,An Anonymous Girl,Greer Hendricks,1250133734,,3.87,375,45872,7621,Hardcover,January 8th 2019,St. Martin's Press
47,Ice Hunt,James Rollins,0060521600,,4.05,509,15075,519,Mass Market Paperback,March 1st 2007,Harper
349,Before the Fall,Noah Hawley,,,3.74,401,97232,11157,Kindle Edition,May 31st 2016,Grand Central Publishing
198,Broken Monsters,Lauren Beukes,031621681X,,3.58,464,16841,2497,Paperback,June 16th 2015,Mulholland Books
44,The Last Mile,David Baldacci,1455566020,(Amos Decker #2),4.21,644,54873,3739,Hardcover,April 26th 2016,Grand Central Publishing
346,Pet Sematary,Stephen King,,,3.96,580,356407,10006,Kindle Edition,May 13th 2014,Scribner
347,Career of Evil,Robert Galbraith,,(Cormoran Strike #3),4.22,498,137515,12911,Kindle Edition,June 2018,Mulholland Books
401,The Client,John Grisham,0385339089,,3.99,483,360485,2247,Paperback,March 16th 2010,Delta
497,"Tinker, Tailor, Soldier, Spy",John le Carré,0143119788,(The Karla Trilogy #1),4.05,381,60481,3624,Paperback,June 7th 2011,Penguin Books
496,Bad Luck and Trouble,Lee Child,0385340559,(Jack Reacher #11),4.19,378,60818,2563,Hardcover,May 15th 2007,Bantam Dell Random House
498,The Outsider,Stephen King,1501180983,,4.02,561,100573,11157,Hardcover,May 22nd 2018,Scribner
400,The Da Vinci Code,Dan Brown,0307277674,(Robert Langdon #2),3.82,489,1727993,44793,Paperback,March 28th 2006,Anchor
499,One of Us Is Lying,Karen M. McManus,,(One of Us is Lying #1),4.06,361,114696,17319,Kindle Edition,May 30th 2017,Delacorte Press
495,American Psycho,Bret Easton Ellis,0679735771,,3.82,399,209510,8936,Paperback,March 1991,Vintage Contemporaries / Random House
